track_id,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
17TCTYGxieVPS1TBTUdQkc,yunè pinku,Jaws,0.645,0.642,2,-8.577,1,0.0383,0.00955,0.095,0.256,130.002,200493,4
0Ume2ALqcG0LDPecFmNgAV,Mount Kimbie,f1 racer,0.656,0.203,10,-14.992,1,0.0574,0.772,0.164,0.419,143.915,146720,4
4fu26fz7aafZXnU0SlSU15,Rival Consoles,Running,0.584,0.613,11,-13.823,1,0.0418,0.855,0.108,0.0511,118.883,251188,4
0AWkXy7GTpvh8h85Np8Ug0,dexter,Vexed,0.722,0.521,6,-8.099,0,0.0909,1.66e-05,0.0743,0.962,159.936,141782,4
6gdDu39yYqPcaTgCwYEW8i,Fred again..,Turn On The Lights again.. (feat. Future),0.683,0.887,6,-4.944,0,0.0497,0.446,0.318,0.551,132.007,267947,4
44ZTXLhsvi5vaXTDhQsm33,Call Super,Swallow Me,0.661,0.393,10,-17.649,0,0.0653,0.809,0.065,0.503,134.002,490299,4
2ECjeYPCdRNeuCzO0W1UMW,Totally Enormous Extinct Dinosaurs,Be with You,0.648,0.757,0,-5.932,1,0.0296,0.092,0.0987,0.38,119.971,247327,4
4lEkWLEF4MRTJE03dCF2O9,Four Tet,Mango Feedback,0.638,0.919,1,-7.974,0,0.0485,0.802,0.123,0.699,130.048,291721,4
7nZNvE2EdKrH127yzBMW8E,Loods,Love Is Real,0.703,0.875,3,-4.361,1,0.0485,0.729,0.0379,0.551,128.003,197728,4
1i5XRu1L0x7gIg9UGKqizL,Anyma,Consciousness - Eric Prydz Remix,0.623,0.866,7,-7.145,1,0.051,0.785,0.637,0.244,125.967,244130,4
5g1IxCinEawQcerAMrs2tU,Mura Masa,e-motions (with Erika de Casier),0.797,0.548,10,-5.992,1,0.033,0.0336,0.115,0.465,127.993,168724,4
28xeM58xfbn0ahMEfjAsHP,Shygirl,Woe,0.565,0.447,6,-7.429,0,0.0529,0.0335,0.111,0.126,165.993,220452,4
6kqAKtIZDTeBjLdJJ2jiTt,Oliver Sim,GMT - Jamie xx Remix,0.832,0.433,5,-15.566,0,0.0437,0.687,0.0942,0.275,117.904,572217,4
1ONDma4NENd2D7ig3HvJ1Z,CLIPZ,"No Time (feat. Nia Archives, Beenie Man, Cristale & ShaSimone)",0.745,0.928,2,-2.364,1,0.248,0,0.0276,0.776,174.049,168653,4
2uUAW6qgya8keByF9mh3ui,George FitzGerald,Passed Tense,0.681,0.826,8,-6.72,1,0.0547,0.0132,0.14,0.549,123.996,241087,4
0Uo3ri0yFn2iUh2c3Z54uO,Jamie Roy,Organ Belta,0.806,0.981,11,-6.689,0,0.0646,0.863,0.0512,0.914,128.0,360077,4
4DByEumlGTZKSzuVEZ35eo,Beyoncé,PURE/HONEY,0.857,0.558,1,-7.888,1,0.134,4.8e-05,0.288,0.453,123.973,288255,4
6GnIaawrUwU0Agm7BM1wFu,Aluna,Nowhere To Hide,0.798,0.718,8,-6.874,1,0.057,0.571,0.0945,0.561,112.017,195605,4
2AOBG21RTF5xxBfYqtEgWi,Artche,Escape,0.589,0.894,7,-7.396,1,0.04,0.628,0.239,0.258,126.005,263158,4
